audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,2.305,0.11795,2.42295,0.48459,0.026085243999986574,0.005217048799997315,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,1,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.025421479000002023,0.005084295800000404,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,2,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.026515366999987577,0.005303073399997515,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,3,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.026240616999999133,0.005248123399999827,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,4,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.02547278699999822,0.005094557399999644,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,5,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.025405304999992495,0.005081060999998499,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,6,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.025405660000004104,0.005081132000000821,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,7,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.02553438899998639,0.005106877799997278,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,8,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.025426764000002322,0.005085352800000465,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,9,1,1
5.0,2.305,0.11795,2.42295,0.48459,0.026422103000001584,0.0052844206000003165,289.5078125,289.5078125,0.0,xin chào robot mã 31f192be,45760,Q8,1,0.004,False,10,1,1
