audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023294461000006095,0.004658892200001219,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,1,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.02328680299999064,0.004657360599998129,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,2,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023294562999993218,0.004658912599998644,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,3,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023400882999993655,0.004680176599998731,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,4,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023341522999999142,0.004668304599999828,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,5,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023324524000003066,0.004664904800000614,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,6,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023371714000006705,0.004674342800001341,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,7,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.023257343000011588,0.0046514686000023175,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,8,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.022388176000006865,0.004477635200001373,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,9,1,1
5.0,2.0009459459459458,0.11795,2.1188959459459458,0.42377918918918916,0.02333305300000177,0.004666610600000354,289.7578125,289.7578125,0.0,xin chào robot mã 31f192be,45760,FP16,4,0.0,False,10,1,1
