audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,3.655,0.11795,3.77295,0.75459,0.03913553699999284,0.007827107399998567,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,1,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03938572100000215,0.00787714420000043,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,2,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03993561999999429,0.007987123999998857,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,3,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03945201000000509,0.007890402000001018,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,4,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.039446393999995166,0.007889278799999034,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,5,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03941567900000109,0.007883135800000218,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,6,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.039604627999992204,0.00792092559999844,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,7,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.039325329000007514,0.007865065800001503,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,8,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03934579300000962,0.007869158600001924,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,9,1,1
5.0,3.655,0.11795,3.77295,0.75459,0.03980621300000564,0.007961242600001129,289.26171875,289.26171875,0.0,xin chào robot mã 31f192be,45760,FP16,1,0.0,False,10,1,1
