audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012536479000004874,0.002507295800000975,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,1,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012493669999997792,0.0024987339999995584,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,2,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012620378999997683,0.002524075799999537,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,3,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012549008999997113,0.0025098017999994225,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,4,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012740063999999052,0.0025480127999998104,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,5,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012561855000001287,0.0025123710000002574,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,6,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012701597000003062,0.0025403194000006126,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,7,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012730486000009478,0.0025460972000018955,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,8,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012776670999997464,0.002555334199999493,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,9,1,1
5.0,1.0124468085106382,0.11795,1.1303968085106382,0.22607936170212764,0.012586795000004258,0.0025173590000008516,288.79296875,288.79296875,0.0,xin chào robot mã 31f192be,45760,Q8,3,0.004,True,10,1,1
