audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.01571480799999847,0.003142961599999694,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,1,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.01578543700000523,0.0031570874000010464,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,2,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015914862999991897,0.003182972599998379,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,3,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.01589998599999376,0.003179997199998752,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,4,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015884042999999792,0.0031768085999999583,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,5,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015811759000001757,0.0031623518000003514,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,6,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015732045000007133,0.0031464090000014266,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,7,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015590791999997577,0.0031181583999995155,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,8,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015807069000004503,0.0031614138000009007,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,9,1,1
5.0,1.2712162162162162,0.11795,1.3891662162162162,0.2778332432432432,0.015992393000004768,0.0031984786000009537,302.421875,302.421875,0.0,xin chào robot mã 31f192be,45760,Q8,4,0.004,True,10,1,1
