audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,1.055,0.11795,1.17295,0.23459,0.013878767999997876,0.0027757535999995754,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,1,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013369526000005294,0.002673905200001059,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,2,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013526936999994632,0.0027053873999989264,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,3,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013877684999997086,0.0027755369999994174,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,4,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013657231000010484,0.0027314462000020967,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,5,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013725397000001749,0.0027450794000003498,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,6,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013694407000002684,0.002738881400000537,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,7,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.0137486809999956,0.0027497361999991197,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,8,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013687770000004207,0.0027375540000008415,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,9,1,1
5.0,1.055,0.11795,1.17295,0.23459,0.013642601000000809,0.0027285202000001617,290.09765625,290.09765625,0.0,xin chào robot mã 31f192be,45760,Q8,2,0.004,True,10,1,1
