audio_duration_sec,asr_time_sec_sim,tts_time_sec_sim,total_time_sec_sim,rtf_sim,wall_time_sec,rtf_wall,ram_before_mb,ram_after_mb,ram_delta_mb,transcript,tts_pcm_bytes,quant,num_threads,wer_delta_estimate,passed_rtf_sim,loop,asr_load_count,tts_load_count
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.018347998999999504,0.003669599799999901,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,1,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.01901027499999941,0.003802054999999882,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,2,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.018895113999988666,0.0037790227999977334,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,3,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.019350173999995945,0.003870034799999189,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,4,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.01899805799999399,0.0037996115999987977,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,5,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.01909663500001102,0.003819327000002204,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,6,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.019083371999997212,0.0038166743999994424,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,7,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.018916832999991584,0.003783366599998317,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,8,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.019058687999987,0.0038117375999974002,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,9,1,1
5.0,1.5869148936170212,0.11795,1.7048648936170212,0.34097297872340426,0.01894778300000155,0.00378955660000031,283.265625,283.265625,0.0,xin chào robot mã 31f192be,45760,FP16,3,0.0,False,10,1,1
